"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"Christian McCaffrey","CAR","RB",1,3,1.3,6,1,2.3,0.7,5,1,2.5,,,,,1.5,5,1,2.3,1.1,4,2019-09-13
"Ezekiel Elliott","DAL","RB",2,5.3,2.4,10,2,3.5,0.8,5,1,2.5,,,,,1.7,5,1,2.3,1.3,4,2019-09-13
"Saquon Barkley","NYG","RB",1,1.2,0.6,5,1,1.1,0.4,4,1,2.8,,,,,1.5,5,1,2.5,1.1,4,2019-09-13
"Alvin Kamara","NOS","RB",2,4.7,1.3,8,2,3.1,0.5,4,2,3.3,,,,,1.1,5,2,3,0.7,4,2019-09-13
"Davante Adams","GBP","WR",4,7.8,1.8,15,1,3.9,1.2,7,4,4.8,,,,,1.3,7,1,1.5,0.9,3,2019-09-13
"DeAndre Hopkins","HOU","WR",1,3.7,1.4,9,1,1.4,0.6,4,6,6,,,,,0,6,2,2,0,2,2019-09-13
"Julio Jones","ATL","WR",9,15.5,2.2,25,3,8,1.5,13,4,7.5,,,,,2.9,12,1,3.3,1.8,6,2019-09-13
"Travis Kelce","KCC","TE",8,20.3,4,31,1,1.1,0.3,3,9,9,,,,,0,9,1,1,0,1,2019-09-13
"David Johnson","ARI","RB",5,15.4,5.3,34,5,7.9,2.4,15,8,9.8,,,,,3,15,5,5.8,1.3,8,2019-09-13
"Michael Thomas","NOS","WR",3,8.5,1.5,16,2,3.9,0.9,6,10,10,,,,,0,10,4,4,0,4,2019-09-13
"Odell Beckham","CLE","WR",1,6.1,2.9,14,1,3.1,1.4,7,7,10.5,,,,,2.1,12,3,5,1.2,6,2019-09-13
"Dalvin Cook","MIN","RB",9,16.2,3,22,5,8.5,1.4,15,8,12.8,,,,,2.9,15,5,6.8,1.3,8,2019-09-13
"LeVeon Bell","NYJ","RB",9,23.3,5.7,46,7,11.9,2.2,20,13,13.5,,,,,0.5,14,6,6.5,0.5,7,2019-09-13
"JuJu Smith-Schuster","PIT","WR",2,8,3,18,1,3.4,1.6,9,11,14.5,,,,,3.5,18,5,6.5,1.5,8,2019-09-13
"Nick Chubb","CLE","RB",5,14,3.5,24,4,6.9,1.7,11,14,15,,,,,1,16,7,8,1,9,2019-09-13
"James Conner","PIT","RB",7,21.4,6.6,47,6,10.8,3.1,22,13,15,,,,,1.2,16,6,8,1.2,9,2019-09-13
"Keenan Allen","LAC","WR",11,21.6,5.6,35,5,10.2,2.3,20,17,17.5,,,,,0.9,19,7,7.5,0.9,9,2019-09-13
"Adam Thielen","MIN","WR",17,30.8,5.5,71,10,14.9,2.7,23,17,18.5,,,,,0.9,19,7,8.5,0.9,9,2019-09-13
"Mike Evans","TBB","WR",8,12.2,3.1,26,4,6.4,1.1,9,12,18.5,,,,,4.1,22,6,8.5,1.7,10,2019-09-13
"Amari Cooper","DAL","WR",12,20.6,4.6,36,7,9.5,1.7,22,11,20.5,,,,,7.2,31,5,9.5,3.6,15,2019-09-13
"Leonard Fournette","JAC","RB",15,35,9,65,7,15.2,2.9,32,20,20.8,,,,,1.3,23,10,10.5,0.9,12,2019-09-13
"Chris Carson","SEA","RB",27,67.3,20.9,111,13,26.5,6.9,40,21,21,,,,,0,21,11,11,0,11,2019-09-13
"George Kittle","SFO","TE",14,26.7,4.2,41,1,2,0.5,3,25,25,,,,,0,25,2,2,0,2,2019-09-13
"Robert Woods","LAR","WR",32,42,7.2,131,14,21.4,5,42,24,26,,,,,2,28,11,12,1,13,2019-09-13
"Todd Gurley","LAR","RB",5,18.4,8.8,45,2,8.9,3,18,20,28.3,,,,,5.4,35,10,13.5,2.2,16,2019-09-13
"Stefon Diggs","MIN","WR",14,22.1,3.7,30,7,11,1.5,14,24,30.3,,,,,8.7,45,11,13.8,3.7,20,2019-09-13
"Joe Mixon","CIN","RB",7,12,3,24,5,6.5,1.7,11,23,31,,,,,6.8,40,12,15,2.7,19,2019-09-13
"Brandin Cooks","LAR","WR",18,29.1,5.6,43,10,13.7,2.2,20,27,31,,,,,6.9,43,12,13.5,2.6,18,2019-09-13
"Chris Godwin","TBB","WR",26,39.7,7.8,79,10,18,3.4,32,30,33.8,,,,,5.9,44,14,15.5,2.1,19,2019-09-13
"Zach Ertz","PHI","TE",21,37.2,9.4,70,2,3.2,0.7,6,34,34,,,,,0,34,3,3,0,3,2019-09-13
"Allen Robinson","CHI","WR",34,54.6,10.9,96,18,25.9,3.9,45,30,34.8,,,,,4.3,39,14,15.8,1.3,17,2019-09-13
"Marlon Mack","IND","RB",26,48,9,70,12,20.7,3.5,28,33,36,,,,,2.1,38,15,16.8,1.3,18,2019-09-13
"Patrick Mahomes","KCC","QB",6,30.3,5.6,47,1,1,0,1,36,36,,,,,0,36,1,1,0,1,2019-09-13
"Austin Ekeler","LAC","RB",74,108.8,16.5,151,24,38.4,5.6,51,23,36,,,,,10,51,12,17,4.4,24,2019-09-13
"Aaron Jones","GBP","RB",21,36.3,8.1,92,11,16.5,3.9,33,29,36.3,,,,,4.8,41,14,17.3,2.4,20,2019-09-13
"Josh Jacobs","OAK","RB",22,36.3,7.3,75,10,16.5,4.1,30,26,36.3,1,1.4,0.5,4,14,60,13,16.8,5.4,26,2019-09-13
"James White","NEP","RB",69,91.8,15.2,137,23,33.8,4.6,50,23,39.5,,,,,12.1,57,12,18.5,4.7,25,2019-09-13
"TY Hilton","IND","WR",24,41.1,9,79,13,20.5,3.8,35,30,41.8,,,,,11.1,56,14,19.3,4.4,25,2019-09-13
"Mark Ingram","BAL","RB",46,79.8,12.8,122,23,31.2,4,41,29,42.5,,,,,10.3,57,14,19.8,4.1,25,2019-09-13
"Devonta Freeman","ATL","RB",31,52.8,13,92,13,21.9,4.1,34,26,42.8,,,,,11.1,57,13,20.3,4.4,25,2019-09-13
"Derrick Henry","TEN","RB",34,53.3,7.5,96,10,21.2,3.4,31,40,43.8,,,,,4.3,51,19,21.3,1.8,24,2019-09-13
"Damien Williams","KCC","RB",28,66.3,15.4,110,14,26.2,5,41,37,44.5,,,,,6.1,51,17,20.8,2.9,24,2019-09-13
"Julian Edelman","NEP","WR",38,98.3,27.8,166,16,43.6,10.7,68,28,44.8,,,,,10.2,53,13,19.8,4.1,23,2019-09-13
"Sammy Watkins","KCC","WR",43,74.6,20.8,154,20,31.5,6.5,55,27,46,,,,,11.9,56,12,20.5,5.3,25,2019-09-13
"Cooper Kupp","LAR","WR",27,42.3,6.8,126,13,20.6,3.8,37,32,46.3,,,,,11.1,63,16,20.5,4.2,27,2019-09-13
"Kerryon Johnson","DET","RB",21,29.8,5.5,45,11,13.5,1.9,22,33,47,,,,,11.5,64,15,21.5,4.7,28,2019-09-13
"Sony Michel","NEP","RB",20,44.9,9,82,11,17.9,2.6,31,37,47.5,,,,,9.1,61,17,22,3.6,27,2019-09-13
"Evan Engram","NYG","TE",27,58.4,8.8,81,3,4.9,0.8,11,48,48,,,,,0,48,4,4,0,4,2019-09-13
"Kenny Golladay","DET","WR",18,32.1,7.1,47,10,15.7,2.8,23,32,49.5,,,,,10.2,58,16,22.5,3.8,26,2019-09-13
"Antonio Brown","NEP","WR",14,25.9,6.2,40,7,13.6,3.9,25,22,50.5,,,,,34.9,110,10,21.8,13.7,45,2019-09-13
"Alshon Jeffery","PHI","WR",44,76.1,15.5,146,18,36.4,8,56,43,50.5,,,,,5.9,58,18,22.3,3,26,2019-09-13
"Calvin Ridley","ATL","WR",29,45.3,10,80,15,19.4,3.9,28,45,51,,,,,4.3,56,20,22.8,1.9,25,2019-09-13
"OJ Howard","TBB","TE",21,53,10.1,70,2,4.3,0.9,6,52,54.3,,,,,1.3,55,5,5.8,0.4,6,2019-09-13
"Tyler Boyd","CIN","WR",33,60.6,17.7,143,20,28.1,5.1,46,39,54.5,,,,,13.1,74,17,23.5,4.9,30,2019-09-13
"Tyler Lockett","SEA","WR",26,63.1,18.2,135,13,27.7,5.9,52,47,56.3,,,,,11.6,76,21,24.3,4,31,2019-09-13
"Tyreek Hill","KCC","WR",4,18.8,9.5,248,1,8,2.9,90,32,57,,,,,21.5,89,16,24.8,8.1,37,2019-09-13
"Phillip Lindsay","DEN","RB",32,62.7,11.5,93,15,24.2,3.5,34,50,57.3,,,,,7.3,68,23,25.8,2.7,30,2019-09-13
"Deshaun Watson","HOU","QB",30,47.3,6.9,63,2,2.3,0.4,4,59,59,,,,,0,59,2,2,0,2,2019-09-13
"Matt Breida","SFO","RB",71,119.5,20.5,179,28,41.2,4.7,56,38,60.5,,,,,13.2,71,18,27.3,5.4,32,2019-09-13
"Duke Johnson","HOU","RB",55,108.3,24.2,271,21,37.6,7.5,76,46,60.8,,,,,10.3,75,22,27.8,4.7,35,2019-09-13
"DJ Moore","CAR","WR",16,34.4,8.8,77,9,16.6,3.9,30,44,61.8,,,,,11,74,19,26,4.2,30,2019-09-13
"Aaron Rodgers","GBP","QB",42,65.5,13.7,112,2,4.9,1.7,12,62,62,,,,,0,62,3,3,0,3,2019-09-13
"Miles Sanders","PHI","RB",34,52.9,15.4,122,11,21.8,5.9,44,60,62.5,1,2.8,1,9,2.1,65,26,27.5,1.1,29,2019-09-13
"Latavius Murray","NOS","RB",70,121.4,21.2,166,27,42.3,5.8,66,41,62.8,,,,,12.6,72,20,28.5,5,33,2019-09-13
"Larry Fitzgerald","ARI","WR",99,163.4,21.3,231,41,68.8,9,96,49,65.5,,,,,14.6,80,22,27.8,5.3,33,2019-09-13
"David Montgomery","CHI","RB",23,45.7,12.2,102,12,19.6,4.9,34,57,67.3,1,2.5,0.8,7,6,72,25,30,3,33,2019-09-13
"AJ Green","CIN","WR",23,47.4,18.3,93,9,22.8,7.2,46,43,68.3,,,,,20.9,101,18,28.8,8.6,42,2019-09-13
"Josh Gordon","NEP","WR",64,140.3,67.6,378,28,57.8,24.3,132,66,71.5,,,,,5.3,79,28,29.8,1.5,32,2019-09-13
"Tarik Cohen","CHI","RB",50,72.8,11,143,22,29.3,4.6,51,64,71.8,,,,,7.8,83,28,32.5,4.2,38,2019-09-13
"LeSean McCoy","KCC","RB",89,167.7,36.2,285,35,53.5,8.4,85,60,72.5,,,,,10.6,83,26,32.5,5.5,38,2019-09-13
"Kenyan Drake","MIA","RB",54,84.2,17.7,133,22,32,5.6,55,71,73.3,,,,,2.9,78,32,33.8,2,37,2019-09-13
"Jarvis Landry","CLE","WR",41,64.6,16.9,127,21,28.5,4,50,67,74.8,,,,,4.9,79,29,30.8,1.3,32,2019-09-13
"Devin Singletary","BUF","RB",46,112.1,31,199,21,39.3,8.1,63,65,79.3,4,13.1,4.7,23,18.5,111,29,34.3,6.3,45,2019-09-13
"Mike Williams","LAC","WR",29,50.1,11.6,123,14,23.8,4.8,37,44,80.3,,,,,31.5,130,19,33.3,12,52,2019-09-13
"Matt Ryan","ATL","QB",60,103.7,21.9,183,6,10.8,2.6,18,69,80.5,,,,,6.7,85,4,5,0.7,6,2019-09-13
"Baker Mayfield","CLE","QB",31,49.8,5.2,62,2,3.2,1,9,69,81,,,,,12.2,96,4,5.8,1.8,8,2019-09-13
"Malcolm Brown","LAR","RB",108,220.4,57.2,374,41,68.9,13.3,99,72,81.5,,,,,12,102,33,36.5,3.4,42,2019-09-13
"David Njoku","CLE","TE",34,75.2,11.2,116,5,7.5,1.2,12,52,84,,,,,22.7,116,5,7.8,2.2,11,2019-09-13
"Melvin Gordon","LAC","RB",8,20,6.3,40,5,9.4,2.3,17,46,85,,,,,29.8,127,22,36,9.9,49,2019-09-13
"Tyrell Williams","OAK","WR",77,139.3,28.9,200,32,62.6,10.8,87,58,86.3,,,,,16.6,101,26,36,6,42,2019-09-13
"Royce Freeman","DEN","RB",51,92.9,13,127,25,34.5,4.1,42,77,86.5,,,,,7,95,36,38.3,1.5,40,2019-09-13
"Chris Thompson","WAS","RB",133,189.4,28.2,250,44,61.9,8.6,81,77,86.8,,,,,15.7,114,36,39,4.1,46,2019-09-13
"Sterling Shepard","NYG","WR",63,96.3,20.7,159,25,43.3,7.1,62,76,87,,,,,13.1,108,31,35.3,4.9,43,2019-09-13
"Curtis Samuel","CAR","WR",51,92.3,19.2,155,23,39,6.7,102,76,87.8,,,,,8.5,100,31,35.8,3.6,41,2019-09-13
"Will Fuller","HOU","WR",40,73.7,11.7,140,21,34.2,5.1,51,81,88,,,,,5.7,97,34,36,2.3,40,2019-09-13
"DeSean Jackson","PHI","WR",112,164.6,27.5,235,39,68,13.1,101,66,88.3,,,,,13.6,101,28,36.8,5.4,42,2019-09-13
"Rashaad Penny","SEA","RB",44,70.9,12.5,114,19,27.3,4.1,35,73,91.3,,,,,18.5,118,34,39.3,5.2,47,2019-09-13
"Lamar Jackson","BAL","QB",38,106.7,20.1,161,4,12,3.7,20,84,92,,,,,5.5,98,5,7.3,1.5,9,2019-09-13
"Carson Wentz","PHI","QB",37,72.6,13.9,108,3,5.8,1.8,10,84,92.5,,,,,5.9,98,5,7.5,1.7,9,2019-09-13
"Jared Goff","LAR","QB",54,86.3,13.4,119,4,7.7,2,24,85,93,,,,,11.2,112,6,7.8,2.5,12,2019-09-13
"Marvin Jones","DET","WR",74,105.3,20.9,171,31,45.9,6.6,69,89,94.3,,,,,3.9,100,37,39,1.4,41,2019-09-13
"Tom Brady","NEP","QB",118,167.2,32.6,257,19,23.4,1.7,27,69,94.5,,,,,15.1,107,4,8.5,2.7,11,2019-09-13
"Austin Hooper","ATL","TE",94,125.5,14.3,157,8,12.5,1.9,26,86,96,,,,,14.1,120,8,9.3,1.6,12,2019-09-13
"Robby Anderson","NYJ","WR",46,87,18.5,142,22,37.6,8.1,59,89,96.5,,,,,4.5,100,37,39.8,1.6,41,2019-09-13
"Adrian Peterson","WAS","RB",137,215.7,41.7,346,48,67.5,9.7,90,78,96.5,,,,,13,111,37,41.3,3.3,45,2019-09-13
"Marquez Valdes-Scantling","GBP","WR",52,129.1,21.4,176,26,53.2,7,70,81,96.8,,,,,15.1,121,34,39.5,5.4,48,2019-09-13
"TJ Hockenson","DET","TE",64,91.8,24,195,5,8.8,3.5,24,52,97.3,6,8.9,2.4,28,31.4,135,5,9.3,3,13,2019-09-13
"Ronald Jones","TBB","RB",82,129.7,33.2,269,33,43.4,4.8,69,73,97.3,,,,,16.5,119,34,41,5,48,2019-09-13
"Corey Davis","TEN","WR",37,54.5,12.6,108,14,25.3,5.1,44,67,97.3,,,,,24.1,126,29,39.8,8.6,50,2019-09-13
"Dede Westbrook","JAC","WR",54,93.7,16,134,26,43.1,7.2,83,93,97.8,,,,,7.1,110,38,40.3,2.8,45,2019-09-13
"Emmanuel Sanders","DEN","WR",106,154.5,23.9,209,37,61.6,10.8,84,81,98.3,,,,,14.5,115,34,40,5.5,46,2019-09-13
"Hunter Henry","LAC","TE",41,69.1,11,99,4,6,1.2,14,52,98.8,,,,,45.3,144,5,10.3,4.8,15,2019-09-13
"Tevin Coleman","SFO","RB",57,77.6,12.9,122,23,30.2,3.5,40,68,100.5,,,,,26,140,30,41.3,8.3,53,2019-09-13
"Vance McDonald","PIT","TE",62,136.8,27.2,185,7,15.6,4,29,82,103.5,,,,,19.9,135,7,9.8,2.2,13,2019-09-13
"Delanie Walker","TEN","TE",118,208.6,30.8,253,13,26.1,3.5,33,82,103.5,,,,,16.9,120,7,10,2.1,12,2019-09-13
"Michael Gallup","DAL","WR",55,102.8,20,154,30,46.3,6.4,80,88,105.3,,,,,13,124,36,42.5,4.6,49,2019-09-13
"Jamison Crowder","NYJ","WR",100,160.4,22.6,219,46,67.6,10.1,91,80,105.3,,,,,15.9,124,33,42.3,5.8,49,2019-09-13
"Cam Newton","CAR","QB",47,97.5,18.4,159,5,9.6,2,19,85,106,,,,,13.9,123,6,10.8,3.3,15,2019-09-13
"Carlos Hyde","HOU","RB",110,186,42.3,313,47,63.9,10.3,92,77,106.3,,,,,22.4,140,36,43.8,6.1,53,2019-09-13
"Russell Wilson","SEA","QB",49,77.2,16.5,152,4,6.5,1.8,15,96,107.5,,,,,12.3,125,8,11.3,3.4,16,2019-09-13
"Christian Kirk","ARI","WR",47,70,17.2,139,17,30,4,49,109,110.8,,,,,2.5,115,44,44.8,0.8,46,2019-09-13
"Darren Waller","OAK","TE",124,204.5,64.2,409,9,27.3,9,53,82,111.3,,,,,26.8,151,7,11,3.4,16,2019-09-13
"Dion Lewis","TEN","RB",115,150.2,19.5,212,39,51.5,5.4,74,99,112,,,,,13.9,132,41,45,4.2,51,2019-09-13
"Derrius Guice","WAS","RB",23,56.9,12.4,88,12,22,4.2,35,95,112,,,,,17.6,140,40,45,5.1,53,2019-09-13
"Kyler Murray","ARI","QB",39,89.1,15.5,133,4,8.5,2.2,22,104,113,1,10,4.3,19,9,122,10,12,2,14,2019-09-13
"Mike Davis","CHI","RB",107,184.7,27.3,232,42,63.4,7.5,98,91,114,,,,,14.8,127,39,45.5,4.1,49,2019-09-13
"Drew Brees","NOS","QB",91,143.8,27.8,205,9,19.4,2.4,25,112,115,,,,,4.6,123,12,13,1.2,15,2019-09-13
"John Brown","BUF","WR",102,142,21.4,203,42,60,8.9,84,79,115.5,,,,,21.8,136,32,46.5,8.9,56,2019-09-13
"Dak Prescott","DAL","QB",53,101.8,18.4,154,5,10.9,2.5,22,107,116.3,,,,,6.6,123,11,13.3,1.5,15,2019-09-13
"Jameis Winston","TBB","QB",61,112.6,22.8,170,6,12.7,2.5,19,107,117.5,,,,,14.9,143,11,13,2.4,17,2019-09-13
"Giovani Bernard","CIN","RB",132,192.5,37.9,325,41,60.7,8.2,79,73,118.3,,,,,33.3,160,34,46.8,9.5,59,2019-09-13
"Justin Jackson","LAC","RB",119,197.6,35.6,271,40,65.3,11.3,96,103,120.8,,,,,22.5,158,43,48,6.1,58,2019-09-13
"John Ross","CIN","WR",105,183.9,26.2,239,47,78.7,11.8,114,117,121.3,,,,,5.3,130,47,48.5,2.1,52,2019-09-13
"Jared Cook","NOS","TE",73,142.1,23.7,191,8,15.4,2.8,20,105,122.3,,,,,17.5,144,10,12,2.1,15,2019-09-13
"Golden Tate","NYG","WR",96,129.4,16.3,168,31,55.6,6.8,71,108,126.5,,,,,10.9,136,43,51.3,4.9,56,2019-09-13
"Mark Andrews","BAL","TE",77,131.1,30.3,221,7,13.3,2.9,26,105,126.8,,,,,16.7,144,10,12.5,2.1,15,2019-09-13
"Marquise Brown","BAL","WR",65,106.8,24.6,177,24,47.1,10.2,72,115,128.5,5,11.4,3.9,27,9.1,139,46,52.3,4.6,58,2019-09-13
"Justice Hill","BAL","RB",62,113.1,30,227,26,38.9,8.5,67,119,130.8,5,12.3,4,30,7.5,140,48,50.8,1.8,53,2019-09-13
"DK Metcalf","SEA","WR",57,91.2,24.9,157,23,37.9,8.1,61,124,131.3,2,6.9,2.6,14,10.4,149,49,52.5,5,61,2019-09-13
"Philip Rivers","LAC","QB",102,154,30.5,234,13,21.8,2.5,31,123,133.5,,,,,9.5,143,15,16.3,0.8,17,2019-09-13
"Peyton Barber","TBB","RB",101,178.5,30.1,231,34,60.1,7.4,81,114,135.5,,,,,15.7,158,46,51.8,4.3,58,2019-09-13
"Jimmy Graham","GBP","TE",176,211.2,18.3,247,21,26.5,3.5,34,116,136,,,,,12.9,151,11,13.5,1.8,16,2019-09-13
"Geronimo Allison","GBP","WR",86,147.1,26,186,33,60.2,10.8,83,117,138,,,,,13.1,149,47,56.5,5.7,61,2019-09-13
"Courtland Sutton","DEN","WR",43,79.5,17.9,130,21,35.2,5.8,54,93,138.3,,,,,36.7,195,38,53.5,10.8,68,2019-09-13
"Kalen Ballage","MIA","RB",75,153.9,26.2,202,30,51.4,7.1,84,106,139.3,,,,,38.5,200,44,52.3,9.1,66,2019-09-13
"Ben Roethlisberger","PIT","QB",95,155.8,34.1,239,11,21.4,3,28,122,141.8,,,,,18.6,165,14,17.8,3,22,2019-09-13
"Keke Coutee","HOU","WR",58,115.2,22.3,172,26,52.3,8.6,82,109,142,,,,,32,195,44,54.8,8.6,68,2019-09-13
"Kirk Cousins","MIN","QB",80,124.2,20.3,189,11,15.7,2.3,22,125,142.3,,,,,10.9,155,16,17.5,1.1,19,2019-09-13
"Devante Parker","MIA","WR",109,161.8,16.7,205,46,70.2,8.9,86,126,143,,,,,15.3,166,50,57.3,6,66,2019-09-13
