"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"Deon Cain","IND","WR",168,242.1,31.5,310,75,97,10.1,114,262,262,,,,,0,262,91,91,0,91,2019-09-13
"Carolina","CAR","DST",223,276.7,45.3,357,5,15.6,3.4,21,212,264,,,,,31.9,295,,,,,2019-09-13
"Miles Boykin","BAL","WR",85,170.4,38.8,333,40,70.9,13.1,115,233,264.5,16,24.1,4.1,42,28.1,294,79,91.3,10.1,104,2019-09-13
"Andy Isabella","ARI","WR",85,125.3,29.3,202,38,57.9,12.3,95,217,265.7,13,18,3.2,33,34.4,290,74,90.3,11.6,100,2019-09-13
"Mike Weber","DAL","RB",209,302.4,24.3,332,62,91.5,8.7,115,257,266,35,50.2,6.7,63,9,275,85,87.5,2.5,90,2019-09-13
"Michael Badgley","LAC","K",238,285.7,59.8,370,6,11.3,3.1,14,255,266,,,,,6.7,273,,,,,2019-09-13
"Dwayne Haskins","WAS","QB",103,183.9,33.2,261,16,24.7,3.2,31,247,266.3,12,28.3,5.5,45,13.2,283,32,34.8,1.6,36,2019-09-13
"David Moore","SEA","WR",142,211.3,19,243,67,90.5,6.7,106,254,267.3,,,,,10.1,277,90,92.8,2.3,95,2019-09-13
"Taylor Gabriel","CHI","WR",174,227.4,21,274,65,97.1,11.8,127,234,267.7,,,,,23.8,285,80,92,8.6,100,2019-09-13
"Marqise Lee","JAC","WR",132,206,29.4,267,57,87.3,10.8,105,241,269,,,,,23.3,298,82,93.5,8.4,102,2019-09-13
"John Kelly","LAR","RB",210,290.9,37.7,377,69,86,10.5,109,250,269.3,,,,,13.7,279,81,88.3,5.2,92,2019-09-13
"Daniel Jones","NYG","QB",121,221.8,43.4,362,20,28.1,3.6,36,262,269.5,22,34.9,6.4,51,7.2,281,34,34.5,0.5,35,2019-09-13
"Detroit","DET","DST",283,311.3,33.2,358,22,24.8,1,26,236,271,,,,,25,306,,,,,2019-09-13
"Diontae Johnson","PIT","WR",123,182.7,36.7,316,59,77.7,14.3,116,245,271,14,25.7,5,37,18.7,288,84,93.3,6.6,99,2019-09-13
"Jaron Brown","SEA","WR",243,296.5,50.3,380,95,129.1,18.9,159,238,274,,,,,37.7,326,81,103.8,18.8,131,2019-09-13
"Taysom Hill","NOS","QB",265,330.7,48.6,381,36,47.3,5.3,56,264,275.7,,,,,8.5,284,37,37.3,0.5,38,2019-09-13
"JJ Arcega-Whiteside","PHI","WR",61,117.3,39.3,262,34,50.3,11.8,94,260,277.3,7,13.3,4.3,23,17.9,302,86,95.3,7.8,105,2019-09-13
"Damarea Crockett","OAK","RB",239,289.8,44.8,362,69,90.6,10.6,109,275,277.5,43,61.5,7,69,2.5,280,90,91.5,1.5,93,2019-09-13
"Travis Benjamin","LAC","WR",212,287.4,26.5,344,83,119.9,12.1,140,222,278,,,,,46.6,336,76,95.3,16.4,116,2019-09-13
"Myles Gaskin","MIA","RB",162,313,54.2,377,59,92.8,10.3,113,278,278,39,50.3,8.6,72,0,278,91,91,0,91,2019-09-13
"Dan Bailey","MIN","K",230,286.5,53.7,375,4,12.3,4.4,19,255,278.3,,,,,20.8,312,,,,,2019-09-13
"Adam Vinatieri","IND","K",241,286.7,58.3,369,10,13,1.9,16,254,278.5,,,,,14.7,292,,,,,2019-09-13
"Joey Slye","CAR","K",,,,,,,,,281,281,,,,,0,281,,,,,2019-09-13
"Damion Willis","CIN","WR",,,,,,,,,253,281.3,42,46,2.9,49,20.1,297,90,98.7,6.6,106,2019-09-13
"Ryan Tannehill","TEN","QB",222,288.3,33.8,338,30,36.8,3.6,48,274,281.5,,,,,7.5,289,37,37.5,0.5,38,2019-09-13
"Kansas City","KCC","DST",251,303,45.6,362,17,24.8,1,26,249,284,,,,,23.4,311,,,,,2019-09-13
"Breshad Perriman","TBB","WR",180,249.9,31.5,295,68,105.1,11.3,124,265,284,,,,,22.8,316,89,97.3,9.1,110,2019-09-13
"Vernon Davis","WAS","TE",296,335,39,374,41,52.9,8.3,74,256,284,,,,,20.2,303,24,32.3,9.3,48,2019-09-13
"Demarcus Robinson","KCC","WR",173,261.1,37.2,314,78,105.8,12.3,123,216,285,,,,,49.1,326,73,98.3,18,113,2019-09-13
"San Francisco","SFO","DST",292,329,29.4,364,21,26.6,1.2,28,275,285.5,,,,,11.5,304,,,,,2019-09-13
"Andrew Wellock","CAR","K",,,,,24,26.4,2.2,29,286,286,,,,,0,286,,,,,2019-09-13
"Geoff Swaim","JAC","TE",229,314.4,58,378,27,46.1,9.3,61,246,287.3,,,,,28.5,324,22,28.8,4.3,34,2019-09-13
"Washington","WAS","DST",237,298.3,53.8,368,28,30,2,32,213,287.8,,,,,47.1,328,,,,,2019-09-13
"Atlanta","ATL","DST",203,252,37.2,309,11,13.8,3.4,32,276,289.3,,,,,13.2,311,,,,,2019-09-13
"Allen Hurns","MIA","WR",264,321.5,24.6,356,101,125.9,11.3,150,275,289.5,,,,,14.5,304,96,100,4,104,2019-09-13
"Mike Gesicki","MIA","TE",128,162.7,25.1,222,13,21,4,31,260,289.5,,,,,18.6,310,25,27.8,2.2,31,2019-09-13
"Austin Seibert","CLE","K",,,,,,,,,279,290.5,,,,,11.5,302,,,,,2019-09-13
"Jake Kumerow","GBP","WR",178,292.4,46.2,361,81,115.9,18.3,161,263,291,,,,,19.9,307,92,101.3,6.6,106,2019-09-13
"Chris Boswell","PIT","K",221,278.8,52,373,6,11.2,3.2,20,274,291.7,,,,,12.7,303,,,,,2019-09-13
"Robert Foster","BUF","WR",111,173.4,39,279,46,75.2,14.8,114,282,292.3,,,,,7.6,300,99,101.3,2.1,104,2019-09-13
"Pittsburgh","PIT","DST",225,288,55,359,13,16.6,3,23,270,292.3,,,,,13.6,305,,,,,2019-09-13
"Tim Patrick","DEN","WR",206,323.8,34.2,353,86,133.7,16,156,288,294,,,,,6,300,102,102.5,0.5,103,2019-09-13
"Gerald Everett","LAR","TE",145,224.5,25.8,287,17,30.5,4,37,269,294.3,,,,,24.3,320,24,29,3.4,33,2019-09-13
"Will Dissly","SEA","TE",175,273.4,70.3,392,22,38.7,6.2,49,268,294.8,,,,,26.8,338,26,29.8,4.8,38,2019-09-13
"Jason Witten","DAL","TE",255,308.8,47.8,385,33,43.7,5.5,56,274,295,,,,,22.6,333,25,29.8,3.7,35,2019-09-13
"Indianapolis","IND","DST",240,286.3,50.1,356,19,22.4,3.4,28,272,295,,,,,16,316,,,,,2019-09-13
"Jakobi Meyers","NEP","WR",96,231.4,44.7,296,34,95.2,16.2,133,296,296,19,36,9,54,0,296,105,105,0,105,2019-09-13
"Josh Lambo","JAC","K",291,336,45,381,19,23.7,3.6,31,261,297,,,,,25.5,315,,,,,2019-09-13
"Ryan Izzo","NEP","TE",,,,,,,,,298,298,,,,,0,298,39,39,0,39,2019-09-13
"Cameron Brate","TBB","TE",192,260.2,36.7,350,23,34.4,2.7,40,268,299,,,,,22.7,327,25,30.8,3.8,35,2019-09-13
"Dustin Hopkins","WAS","K",,,,,26,28,1.6,30,292,299.3,,,,,9,312,,,,,2019-09-13
"Eddy Pineiro","CHI","K",,,,,18,25,7.9,36,283,299.7,,,,,13.9,317,,,,,2019-09-13
"Brandon McManus","DEN","K",249,302.7,52.5,374,9,14.5,3,20,285,301.5,,,,,10.2,312,,,,,2019-09-13
"Aldrick Rosas","NYG","K",,,,,19,24,6.4,33,296,302.3,,,,,4.6,307,,,,,2019-09-13
"NKeal Harry","NEP","WR",37,68.9,26.1,164,16,30.3,9.3,57,271,305.3,1,4.8,1.9,13,27.8,339,93,105.3,10.2,118,2019-09-13
"Arizona","ARI","DST",236,292.6,40,360,16,20,3,32,290,305.5,,,,,15.5,321,,,,,2019-09-13
"Cincinnati","CIN","DST",315,359.7,34.5,399,20,23.6,3,31,289,305.7,,,,,12.8,320,,,,,2019-09-13
"Jalen Hurd","SFO","WR",127,188.9,43.9,350,60,79.4,13,120,264,306.3,19,27.5,5.1,44,30.2,332,88,103.7,11.3,114,2019-09-13
"Ryan Switzer","PIT","WR",223,309.2,55.2,392,91,133,17.4,174,292,307,,,,,19.8,335,99,105.3,6.9,115,2019-09-13
"Demaryius Thomas","NYJ","WR",177,257,30.6,308,71,104.5,8.5,115,286,307.7,,,,,15.3,319,97,105.3,6,111,2019-09-13
"Keith Kirkwood","NOS","WR",220,271.4,27.2,315,90,116.5,14.4,162,308,308,,,,,0,308,108,108,0,108,2019-09-13
"Daniel Carlson","OAK","K",,,,,21,22.3,2.1,27,271,308.3,,,,,26.4,329,,,,,2019-09-13
"Ryan Succop","TEN","K",271,309,50.2,380,17,19.7,2.4,24,309,309,,,,,0,309,,,,,2019-09-13
"Chris Moore","BAL","WR",273,333.8,56.3,438,100,142.7,10.2,156,290,309.5,,,,,19.5,329,103,107,4,111,2019-09-13
"Nick Mullens","SFO","QB",257,320.8,51.6,411,34,40.9,3.5,50,300,309.5,,,,,9.5,319,39,39.5,0.5,40,2019-09-13
"Josh Doctson","MIN","WR",152,220.2,31,289,64,96.3,15.4,132,310,310,,,,,0,310,107,107,0,107,2019-09-13
"Blaine Gabbert","TBB","QB",,,,,47,53.8,4.8,60,310,310,,,,,0,310,39,43.5,4.5,48,2019-09-13
"Tyler Higbee","LAR","TE",254,339.3,61,393,24,47,10.4,74,297,313,,,,,9.9,324,32,33.5,2.6,38,2019-09-13
"Randy Bullock","CIN","K",,,,,24,27,2.9,31,293,314,,,,,21,335,,,,,2019-09-13
"Benjamin Watson","NEP","TE",300,349.3,35.3,381,42,49.7,5,59,286,314.5,,,,,17.9,334,31,33.5,2.1,36,2019-09-13
"Steven Hauschka","BUF","K",242,307.7,57.5,382,10,15.2,4.2,26,314,316,,,,,2,318,,,,,2019-09-13
"Blake Jarwin","DAL","TE",237,320.7,39.7,384,20,44.1,8.4,67,292,317,,,,,17.8,338,29,36.5,5.4,44,2019-09-13
"Tampa Bay","TBB","DST",309,336.7,23.3,366,29,30.3,0.8,31,296,317,,,,,16.8,337,,,,,2019-09-13
"Keelan Cole","JAC","WR",177,244.4,25.4,305,79,100.4,9.8,133,313,317.5,,,,,4.5,322,108,110,2,112,2019-09-13
"Ian Thomas","CAR","TE",127,188.5,39.7,326,13,23,5.3,38,291,320.3,,,,,21.1,340,34,37.7,3.3,42,2019-09-13
"Chris Hogan","CAR","WR",227,263.3,22.4,308,91,110.3,10.5,134,305,320.7,,,,,11.4,332,107,110.3,2.4,112,2019-09-13
"Antonio Callaway","CLE","WR",136,180.4,28.6,251,58,76.2,9.6,99,319,321,,,,,2,323,110,111.5,1.5,113,2019-09-13
"Dawson Knox","BUF","TE",102,252.1,59,408,22,35.1,7.4,52,293,321.7,36,47.4,8.7,66,20.7,341,36,40.7,4.6,47,2019-09-13
"New York","NYG","DST",306,326,24.8,361,25,28,1.9,30,306,322.3,,,,,11.6,331,,,,,2019-09-13
"CJ Uzomah","CIN","TE",239,314,45.6,358,33,45.7,5.2,56,295,322.8,,,,,16.3,336,37,37.5,0.9,39,2019-09-13
"Oakland","OAK","DST",300,354,39.9,395,22,26.5,4,31,323,323,,,,,0,323,,,,,2019-09-13
"Mason Rudolph","PIT","QB",144,271.2,65.3,327,35,42.9,4.2,56,309,325.5,,,,,16.5,342,40,42,2,44,2019-09-13
"Hayden Hurst","BAL","TE",136,211.9,44,383,13,29.7,5.5,40,308,325.7,,,,,13.9,342,30,35.3,5.6,43,2019-09-13
"Zane Gonzalez","ARI","K",,,,,22,30,6.2,37,326,326,,,,,0,326,,,,,2019-09-13
"Robert Griffin","BAL","QB",317,331,14,345,44,50.5,4.5,57,311,326,,,,,15,341,41,42,1,43,2019-09-13
"Jace Sternberger","GBP","TE",82,189.6,37.9,323,12,24.5,5.8,38,328,328,18,31.3,5.3,48,0,328,36,44,8,52,2019-09-13
"Matt LaCosse","NEP","TE",212,277.6,60.2,363,28,44.2,7.9,54,320,328.3,,,,,8.5,340,33,36,2.4,39,2019-09-13
"Cordarrelle Patterson","CHI","WR",249,322.2,22.8,355,104,126.3,13.1,152,316,330,,,,,14,344,109,115,6,121,2019-09-13
"Irv Smith","MIN","TE",85,169.8,35.2,302,12,20.2,5.6,34,321,330.7,20,24.8,2.8,34,7.8,340,34,38,5.7,46,2019-09-13
"Josh Oliver","JAC","TE",98,234.1,57.8,418,15,31.8,8.1,55,333,333,30,45.4,5.6,57,0,333,40,40,0,40,2019-09-13
"Adam Shaheen","CHI","TE",240,309.7,46.2,391,27,40.8,5.6,60,335,335,,,,,0,335,41,46,5,51,2019-09-13
"Jesse James","DET","TE",240,317.4,53,394,34,45.6,4.7,53,336,336,,,,,0,336,42,47.5,5.5,53,2019-09-13
"Will Grier","CAR","QB",134,287.8,66.5,428,28,38.4,4.2,45,330,336.5,45,52.6,4.7,61,6.5,343,42,43.5,1.5,45,2019-09-13
"Drew Lock","DEN","QB",132,247.4,54.3,406,24,32.1,3.3,41,334,336.5,30,41.5,5,51,2.5,339,42,42.5,0.5,43,2019-09-13
"Taywan Taylor","CLE","WR",153,244.1,31.8,332,65,102.4,10.3,129,322,337,,,,,15,352,111,118,7,125,2019-09-13
"Nick OLeary","MIA","TE",,,,,,,,,337,337,,,,,0,337,41,41,0,41,2019-09-13
"Kendrick Bourne","SFO","WR",311,322,9.5,336,114,133,11.2,154,338,338,,,,,0,338,117,117,0,117,2019-09-13
"Teddy Bridgewater","NOS","QB",133,270.4,41.8,370,29,36.8,3.7,43,321,339,,,,,18,357,41,43.5,2.5,46,2019-09-13
"Nick Vannett","SEA","TE",242,302.5,49.6,388,32,45.8,6.5,59,339,339,,,,,0,339,45,46.5,1.5,48,2019-09-13
"Trent Taylor","SFO","WR",184,283.2,52.6,346,78,122.2,18.9,152,341,341,,,,,0,341,119,119,0,119,2019-09-13
"Ricky Seals-Jones","CLE","TE",175,252,49.6,387,23,37.8,6.5,50,332,343,,,,,11,354,38,42.5,4.5,47,2019-09-13
"Jakeem Grant","MIA","WR",205,306.5,49.9,397,78,125.7,13.5,143,343,343,,,,,0,343,120,120,0,120,2019-09-13
"Charles Clay","ARI","TE",307,322.3,20.3,351,35,48,6.6,64,334,343.5,,,,,9.5,353,40,43,3,46,2019-09-13
"Jonnu Smith","TEN","TE",184,236.5,46.1,386,21,33,5.7,46,337,344,,,,,7,351,43,44,1,45,2019-09-13
"Gary Jennings","SEA","WR",141,253.1,61.6,389,60,106,23.5,153,345,345,23,45,11.3,71,0,345,122,122,0,122,2019-09-13
"Jordan Thomas","HOU","TE",181,319.3,37.8,396,23,40.5,7.6,62,346,346,,,,,0,346,44,44,0,44,2019-09-13
"Blake Bortles","LAR","QB",224,307.6,32.6,340,31,41.3,4.1,50,344,346.5,,,,,2.5,349,44,45,1,46,2019-09-13
"Chad Beebe","MIN","WR",237,310.6,74,448,93,128.6,27.7,183,347,347,,,,,0,347,123,123,0,123,2019-09-13
"Trent Sherfield","ARI","WR",306,314,8,322,101,128.8,17,147,348,348,,,,,0,348,124,124,0,124,2019-09-13
"Tyrod Taylor","LAC","QB",247,307.6,53.8,391,37,44.2,3.3,50,350,350,,,,,0,350,45,46,1,47,2019-09-13
"Justin Watson","TBB","WR",191,277.3,48.3,360,81,117,16.2,149,355,355,,,,,0,355,126,126,0,126,2019-09-13
"Greg Dortch","NYJ","WR",,,,,107,158.3,38.1,198,356,356,40,63.9,13.6,90,0,356,127,127,0,127,2019-09-13
"Brett Hundley","ARI","QB",,,,,52,58.5,4.3,64,,,,,,,,,,,,,2019-09-13
"Caleb Wilson","ARI","TE",,,,,34,51,10.1,60,,,52,66.9,7.3,83,,,,,,,2019-09-13
"Maxx Williams","ARI","TE",,,,,60,74.4,6.2,83,,,,,,,,,,,,,2019-09-13
"Hakeem Butler","ARI","WR",66,169.9,38.9,287,31,71.6,14.3,107,,,15,26.6,6.2,40,,,,,,,2019-09-13
"Qadree Ollison","ATL","RB",187,291,66.6,461,62,85,13.3,131,,,35,50.3,9.2,69,,,,,,,2019-09-13
"Brandon Powell","ATL","WR",,,,,112,142.7,21.9,162,,,,,,,,,,,,,2019-09-13
"Antoine Wesley","BAL","WR",,,,,78,135,57,192,,,41,67,13,87,,,,,,,2019-09-13
"Jaleel Scott","BAL","WR",,,,,144,165.3,16,187,,,,,,,,,,,,,2019-09-13
"Nick Boyle","BAL","TE",,,,,66,68,2,70,,,,,,,,,,,,,2019-09-13
"Seth Roberts","BAL","WR",256,340.5,84.5,425,113,146.4,9.4,164,,,,,,,,,,,,,2019-09-13
"Davis Webb","BUF","QB",,,,,59,60,1,61,,,,,,,,,,,,,2019-09-13
"Isaiah McKenzie","BUF","WR",276,335,57,412,115,125.7,10.5,140,,,,,,,,,,,,,2019-09-13
"Andre Roberts","BUF","WR",,,,,149,157,8,165,,,,,,,,,,,,,2019-09-13
"Matt Barkley","BUF","QB",,,,,49,53,4,57,,,,,,,,,49,49,0,49,2019-09-13
"Tyler Kroft","BUF","TE",227,335,66.3,395,30,52,5.2,64,,,,,,,,,54,54,0,54,2019-09-13
"Jason Croom","BUF","TE",292,366,74,440,42,63,15,89,,,,,,,,,,,,,2019-09-13
"Tyree Jackson",,"QB",,,,,,,,,,,61,74.3,10.4,88,,,,,,,2019-09-13
"Jarius Wright","CAR","WR",308,354.5,46.5,401,137,144.5,7.4,156,,,,,,,,,,,,,2019-09-13
"Graham Gano","CAR","K",211,279.8,49.4,371,3,10.8,7.1,25,,,,,,,,,,,,,2019-09-13
"Elijah Holyfield","CAR","RB",237,299.7,48.1,354,60,105.4,13.9,121,,,35,57.9,10.1,75,,,,,,,2019-09-13
"Jordan Scarlett","CAR","RB",193,306.6,66.6,407,53,89.5,12.4,114,,,39,57,9.9,71,,,,,,,2019-09-13
"Chase Daniel","CHI","QB",,,,,48,56.8,10.2,73,,,,,,,,,55,55,0,55,2019-09-13
"Kerrith Whyte","CHI","RB",,,,,83,108.3,27.8,147,,,48,80.6,16.6,92,,,,,,,2019-09-13
"Riley Ridley","CHI","WR",152,242.5,55.7,368,74,102,14.7,136,,,29,41.4,7.8,61,,,,,,,2019-09-13
"Dax Raymond","CHI","TE",,,,,,,,,,,84,90.8,5.8,100,,,,,,,2019-09-13
"Rodney Anderson","CIN","RB",87,237.1,66.8,384,38,76.4,13.4,106,,,27,43.4,9,61,,,,,,,2019-09-13
"Ryan Finley","CIN","QB",147,277.4,66.7,327,33,44.6,6.1,58,,,49,62.3,9.5,81,,,,,,,2019-09-13
"Samaje Perine","CIN","RB",,,,,81,113.6,16,145,,,,,,,,,,,,,2019-09-13
"Alex Erickson","CIN","WR",,,,,161,164,3,167,,,,,,,,,,,,,2019-09-13
"Stanley Morgan","CIN","WR",,,,,108,138,23.7,166,,,33,63,17.1,82,,,,,,,2019-09-13
"Auden Tate","CIN","WR",,,,,129,144,11.9,158,,,,,,,,,,,,,2019-09-13
"Trayveon Williams","CIN","RB",121,237.3,47.6,382,61,74.3,9,105,,,24,39.4,4.6,64,,,,,,,2019-09-13
"Drew Sample","CIN","TE",,,,,37,51.9,7.3,71,,,39,79.6,12.8,98,,,,,,,2019-09-13
"Demetrius Harris","CLE","TE",303,383,80,463,35,51.4,10.3,69,,,,,,,,,,,,,2019-09-13
"Damion Ratley","CLE","WR",,,,,166,171,5,176,,,,,,,,,,,,,2019-09-13
"Tavon Austin","DAL","WR",,,,,132,149.4,15.7,178,,,,,,,,,,,,,2019-09-13
